"ENSEMBL","baseMean","ful2_mbp20_sIM_vs_WT_sIM","lfcSE","stat","pvalue","padj","Symbol"
"Solyc07g007040.4",2575.82530520042,-2.31205492336268,0.105409695796806,-21.9339872474307,1.23149019627142e-106,2.25350391015708e-102,"Solyc07g007040.4"
"Solyc08g059700.2",228.570401959424,7.29423742999656,0.426672635074712,17.0956298350826,1.59958509343269e-65,1.46354038123624e-61,"Solyc08g059700.2"
"Solyc03g114800.1",260.514313154295,2.01142968154224,0.125008488842007,16.0903447451829,2.98172425795915e-58,1.81875240654648e-54,"Solyc03g114800.1"
"Solyc08g078950.3",191.309372477882,3.11970614077565,0.208345520111323,14.9737135653732,1.09057676708109e-50,4.98911606520421e-47,"Solyc08g078950.3"
"Solyc08g075210.2",79.4759461087311,5.03538255217617,0.41968410384688,11.9980301994314,3.63853043337041e-33,1.3316293680049e-29,"Solyc08g075210.2"
"Solyc03g114830.3",690.665191897966,-1.88959053759131,0.158020698551577,-11.9578672598677,5.90593270050928e-33,1.80121104144366e-29,"Solyc03g114830.3"
"Solyc12g011200.3",57.2622406872001,4.15138491577264,0.351948243790455,11.795441486119,4.12034108204338e-32,1.0771160208616e-28,"Solyc12g011200.3"
"Solyc01g007070.3",66.0534842548205,3.10480554328077,0.273852544846249,11.3375084574216,8.55453828642965e-30,1.9567437012922e-26,"Solyc01g007070.3"
"Solyc05g005130.3",56.3598724509285,5.14217648880615,0.47311785561944,10.8687009541706,1.62497999337568e-27,3.30394543319794e-24,"Solyc05g005130.3"
"Solyc03g121850.3",319.093504142789,1.46049461313163,0.135219000972196,10.800956985564,3.40634549247792e-27,6.23327161668535e-24,"Solyc03g121850.3"
"Solyc06g008820.3",228.320764771889,1.77886851371021,0.167424965932769,10.624870095088,2.28329840303385e-26,3.79837067973785e-23,"Solyc06g008820.3"
"Solyc12g062200.1",70.5075649189213,9.74948246311012,1.04312704286916,9.34639987502754,9.06818403945006e-21,1.38282249781581e-17,"Solyc12g062200.1"
"Solyc02g150124.1",73.1575174081174,7.77207376388902,0.857181628326573,9.06700926274167,1.22328520216927e-19,1.72191507034581e-16,"Solyc02g150124.1"
"Solyc07g005360.3",1222.48471285023,0.569795834622438,0.0646145346650727,8.81838486612889,1.16122522770309e-18,1.51780431726707e-15,"Solyc07g005360.3"
"Solyc10g007800.3",4072.45720758426,0.802166281930556,0.0922946192171662,8.69136563685348,3.5810849107078e-18,4.36868485206947e-15,"Solyc10g007800.3"
"Solyc02g084790.3",1019.78362750995,1.08049328435778,0.125489569143465,8.61022387544026,7.29180326820499e-18,8.33954425030519e-15,"Solyc02g084790.3"
"Solyc04g071070.2",729.474452511683,1.01667410016437,0.118811860107464,8.55700852797694,1.15833968664675e-17,1.24685046623229e-14,"Solyc04g071070.2"
"Solyc10g018530.2",303.277654812554,0.919839225030681,0.113904051701941,8.07556194258723,6.71666004224666e-16,6.82823122850398e-13,"Solyc10g018530.2"
"Solyc01g081250.3",29.1088183648217,4.11200694710411,0.514971816388659,7.98491648715917,1.40617471707269e-15,1.35429427093227e-12,"Solyc01g081250.3"
"Solyc09g010940.4",1821.25283414496,1.01241302175705,0.12746606931536,7.94260799909244,1.97973848343122e-15,1.81136172541539e-12,"Solyc09g010940.4"
"Solyc12g098830.2",3092.83482980904,0.406820022014838,0.0519971824170247,7.82388589351024,5.12172352482475e-15,4.46297232289372e-12,"Solyc12g098830.2"
"Solyc03g062830.3",892.471016873647,-0.892121630808553,0.114481653720531,-7.79270391207284,6.55901983071018e-15,5.21841321226807e-12,"Solyc03g062830.3"
"Solyc04g016200.1",61.4808136729388,2.11376673908768,0.271202055259448,7.79406607765388,6.48865872787713e-15,5.21841321226807e-12,"Solyc04g016200.1"
"Solyc07g064600.3",68.6681429819298,1.83121708212216,0.244541631049202,7.48836537265804,6.97366680467082e-14,5.31713036911131e-11,"Solyc07g064600.3"
"Solyc01g067270.4",183.954741640343,1.01839946766705,0.136982892514206,7.43450111890015,1.04963339892433e-13,7.68289662676651e-11,"Solyc01g067270.4"
